Id,Date,Session,Shuffle,Sophia,Clara,Marina,Omer,End
1,23/4/20,1,,80,40,-55,,
2,23/4/20,1,,120,45,80,,
3,23/4/20,1,,25,75,-55,,
4,23/4/20,1,,70,85,,,
5,23/4/20,1,,75,35,,,
6,23/4/20,1,,20,65,65,,
7,23/4/20,1,,0,40,110,,
8,23/4/20,1,,60,-10,10,,
9,23/4/20,1,,95,10,25,,
10,23/4/20,1,,45,-25,50,,
11,23/4/20,1,,30,60,30,,
12,25/4/20,2,,40,110,,,
13,25/4/20,2,,90,10,0,,
14,25/4/20,2,,5,60,10,,
15,25/4/20,2,,85,40,40,,
16,25/4/20,2,,15,60,10,,
17,26/4/20,3,,90,85,65,,
18,26/4/20,3,,90,60,65,,
19,26/4/20,3,,55,75,65,,
20,26/4/20,3,,-70,55,25,,
21,26/4/20,3,,0,5,90,,
22,28/4/20,4,,-15,90,,,
23,28/4/20,4,,110,10,,,
24,28/4/20,4,,55,55,,,
25,28/4/20,4,,100,115,,,
26,28/4/20,4,,90,25,,,
27,28/4/20,5,C,80,130,,,C
28,28/4/20,5,C,30,90,,,C
29,28/4/20,5,C,65,5,,,S
30,28/4/20,5,C,0,85,,,C
31,28/4/20,5,S,65,-35,,,S
32,28/4/20,5,S,70,80,,,S
33,28/4/20,6,C,45,70,,,C
34,28/4/20,6,S,55,105,,,C
35,28/4/20,6,C,140,125,,,C
36,28/4/20,6,S,55,25,,,S
37,28/4/20,6,S,70,95,,,S
38,28/4/20,7,S,70,55,,,S
39,28/4/20,7,C,75,140,,,C
40,28/4/20,7,S,90,55,,,C
41,28/4/20,7,S,60,110,,,S
42,27/4/20,8,,60,35,,,
43,27/4/20,8,,70,65,,,
44,27/4/20,8,,95,95,,,
45,27/4/20,8,,165,55,,,
46,27/4/20,8,,95,130,,,
47,29/4/20,9,C,95,5,,,S
48,29/4/20,9,S,85,50,,,S
49,29/4/20,9,S,130,85,,,C
50,29/4/20,9,S,105,75,,,S
51,29/4/20,9,C,90,65,,,S
52,29/4/20,9,S,65,-5,,,S
53,29/4/20,9,S,55,115,,,C
54,29/4/20,10,M,30,95,75,,C
55,29/4/20,10,S,-5,55,70,,M
56,29/4/20,10,S,40,95,75,,C
57,29/4/20,10,C,-15,0,70,,M
58,30/4/20,11,C,65,220,,,C
59,30/4/20,11,S,80,70,,,S
60,30/4/20,12,C,120,135,,,C
61,30/4/20,12,S,80,-25,,,S
62,30/4/20,12,S,40,-5,,,S
63,30/4/20,13,S,20,-70,100,,M
64,30/4/20,13,M,70,75,85,,M
65,30/4/20,13,C,55,30,40,,S
66,30/4/20,13,C,90,0,-85,,S
67,30/4/20,13,S,55,-10,-65,,S
68,30/4/20,13,S,90,20,0,,S
69,30/4/20,13,S,50,70,35,,C
70,30/4/20,13,S,5,45,25,,C
71,30/4/20,13,M,25,130,0,,C
72,30/4/20,13,C,80,65,30,,S
73,30/4/20,13,C,0,30,60,,M
74,30/4/20,13,S,30,90,40,,C
75,30/4/20,13,S,85,60,130,,M
76,30/4/20,13,C,10,55,75,,M
77,30/4/20,13,C,-35,80,35,,C
78,30/4/20,13,C,70,30,-25,,S
79,30/4/20,13,S,45,-10,10,,S
80,30/4/20,13,C,95,45,25,,S
81,30/4/20,13,M,65,75,40,,C
82,1/5/20,14,C,0,15,65,,M
83,1/5/20,14,M,55,85,65,,C
84,1/5/20,14,C,-55,-60,45,,M
85,1/5/20,14,S,20,75,10,,C
86,3/5/20,15,C,60,130,,,C
87,3/5/20,15,C,-25,50,,,C
88,3/5/20,15,C,75,10,,,S
89,3/5/20,15,C,50,95,,,C
90,3/5/20,15,S,110,90,,,S
91,4/5/20,16,C,20,45,,,C
92,4/5/20,16,S,65,120,,,C
93,4/5/20,16,C,120,120,,,S
94,4/5/20,16,S,45,30,,,S
95,4/5/20,16,S,120,50,,,S
96,4/5/20,16,C,70,5,,,S
97,4/5/20,16,C,45,90,,,C
98,4/5/20,16,S,85,55,,,S
99,4/5/20,16,S,115,105,,,C
100,5/5/20,17,S,45,60,,,C
101,5/5/20,17,S,60,165,,,C
102,5/5/20,17,C,100,70,,,C
103,5/5/20,18,M,-30,100,15,,C
104,5/5/20,18,S,40,20,80,,M
105,5/5/20,18,S,95,75,70,,S
106,5/5/20,18,C,120,5,25,,S
107,5/5/20,18,S,60,60,45,,S
108,5/5/20,18,S,65,5,30,,S
109,6/5/20,19,S,-30,85,,,C
110,6/5/20,19,C,85,70,,,C
111,6/5/20,19,C,80,105,,,C
112,6/5/20,19,C,115,35,,,S
113,6/5/20,19,S,85,55,,,S
114,6/5/20,19,S,85,-15,,,S
115,6/5/20,19,S,45,85,45,,S
116,6/5/20,19,S,55,25,70,,M
